fare_amount,distance_km,passenger_count,hour,weekday,month,is_peak,is_night,is_weekend,pickup_borough,dropoff_borough,cluster,segment_label,is_high_fare,pickup_latitude,pickup_longitude
9.3,4.070891594485229,2,4,6,7,0,1,1,0,1,3,Standard,0,40.721997,-73.99341
12.0,1.6737996362961103,1,12,2,2,0,0,0,0,0,3,Standard,0,40.749755859375,-73.99529266357422
6.9,1.2953685380243236,1,8,2,2,1,0,0,0,0,2,Budget,0,40.739787,-73.982752
5.7,1.1583934474872348,1,8,1,9,1,0,0,0,0,2,Budget,0,40.748995,-73.978379
8.5,1.6369464807601222,3,14,4,5,0,0,0,0,0,3,Standard,0,40.775574,-73.980183
12.5,2.3984330866402677,1,9,1,12,1,0,0,0,0,2,Budget,1,40.736462,-73.997575
7.7,2.1039810671089776,2,0,2,1,0,1,0,0,0,3,Standard,0,40.721558,-73.99736800000001
9.5,3.8276821540250245,1,7,2,4,1,0,0,0,0,2,Budget,0,40.715857,-74.01510999999999
26.1,13.05190222612938,1,5,5,8,0,1,1,0,1,1,Premium,1,40.745582,-73.978273
10.0,2.697501858399595,5,23,3,4,0,1,0,0,1,3,Standard,0,40.723755,-73.99268199999999
5.7,1.7575445987694194,1,2,4,1,0,1,0,1,1,3,Standard,0,40.722878,-73.84676800000001
21.5,8.595585312262923,1,2,1,3,0,1,0,4,1,3,Standard,1,40.64463806152344,-73.78189086914062
12.5,2.884646779221908,1,14,5,9,0,0,1,0,0,3,Standard,1,40.731642,-74.000982
14.5,5.861450645429398,1,3,1,11,0,1,0,0,1,3,Standard,1,40.733075,-73.987587
7.7,2.564274507760217,1,17,2,7,1,0,0,0,4,2,Budget,0,40.749947,-73.97712800000001
14.5,5.624951882949375,4,3,6,11,0,1,1,0,4,3,Standard,1,40.748135,-73.986683
4.1,1.3676494787167515,1,17,0,5,1,0,0,4,4,2,Budget,0,40.76562,-73.969965
8.5,1.3509906301088581,1,20,1,9,1,0,0,0,0,2,Budget,0,40.736764,-73.9932
3.3,0.4887438817261148,1,8,4,2,1,0,0,0,0,2,Budget,0,40.766586,-73.986848
4.1,1.1001163431689602,1,3,3,10,0,1,0,4,4,3,Standard,0,40.797277,-73.969758
17.5,6.24395974262621,1,18,5,8,1,0,1,0,2,2,Budget,1,40.757196,-73.988385
6.9,1.7711553421359707,1,13,6,5,0,0,1,0,0,3,Standard,0,40.729303,-73.986019
6.0,1.9101054509234736,1,13,4,11,0,0,0,0,0,3,Standard,0,40.726471,-74.00371899999999
6.9,1.8465873232393715,1,18,6,2,1,0,1,0,0,2,Budget,0,40.77908,-73.985
10.0,2.1770162050639534,1,9,6,3,1,0,1,0,4,2,Budget,0,40.768643,-73.98519399999999
18.5,6.76189701454446,1,3,1,9,0,1,0,0,4,3,Standard,1,40.75723,-73.98755799999999
15.3,4.902378273795553,1,16,2,9,1,0,0,4,4,2,Budget,1,40.761341,-73.964101
4.9,1.1543804368526802,1,6,1,11,0,0,0,0,0,3,Standard,0,40.7434,-73.9727
4.5,0.841910280434371,1,19,6,11,1,0,1,0,0,2,Budget,0,40.743717,-73.988072
10.5,2.584023901541137,3,17,0,2,1,0,0,0,0,2,Budget,0,40.749753000000005,-73.99219699999999
14.1,0.8731449913230079,1,23,2,7,0,1,0,0,4,3,Standard,1,40.739497,-74.01495200000001
6.5,1.7410840637037526,1,9,3,10,1,0,0,0,0,2,Budget,0,40.754628,-73.988036
6.9,2.0870483329896445,2,14,5,10,0,0,1,0,0,3,Standard,0,40.764594,-73.99575
9.0,2.8165983282897074,1,7,0,12,1,0,0,0,0,2,Budget,0,40.739237,-73.994197
19.5,4.957827250543016,1,18,1,11,1,0,0,0,1,2,Budget,1,40.712585,-74.00448
6.5,1.6173249170601829,3,23,5,12,0,1,1,0,0,3,Standard,0,40.746456,-74.001502
5.3,2.1032463237636008,5,20,5,10,1,0,1,0,0,2,Budget,0,40.749552,-73.992453
12.5,3.0574831007679135,1,17,2,6,1,0,0,0,0,2,Budget,1,40.760742,-74.000362
5.0,1.08958314526144,1,21,4,4,0,0,0,4,4,3,Standard,0,40.773887,-73.954661
6.1,1.3829575816143882,1,13,0,4,0,0,0,0,0,3,Standard,0,40.729494,-74.00225400000001
11.0,1.759608310940818,2,18,2,9,1,0,0,0,0,2,Budget,0,40.736769,-73.98870699999999
12.0,3.223636407748212,1,21,2,12,0,0,0,4,0,3,Standard,0,40.771864,-73.956087
4.5,0.7777454932851238,1,18,0,1,1,0,0,0,0,2,Budget,0,40.73961,-73.998875
5.7,1.3406406554651533,1,20,2,1,1,0,0,0,0,2,Budget,0,40.728677000000005,-73.992575
12.5,5.543309440879969,1,20,6,1,1,0,1,0,4,2,Budget,1,40.732621,-73.987505
8.5,2.479632657934472,1,16,5,9,1,0,1,0,0,2,Budget,0,40.760663,-74.002758
5.3,0.7177050537379529,1,14,1,6,0,0,0,0,0,3,Standard,0,40.766028000000006,-73.979672
16.1,7.995460826170989,1,11,4,9,0,0,0,0,4,3,Standard,1,40.706573,-74.011845
15.7,4.906917481831237,1,22,0,6,0,1,0,0,0,3,Standard,1,40.763437,-73.98315699999999
8.0,2.1674334288952615,2,0,6,12,0,1,1,0,0,3,Standard,0,40.731963,-73.985332
5.7,1.3208635399064657,2,14,4,3,0,0,0,2,4,3,Standard,0,40.773621,-73.945647
31.3,8.4982807777884,1,18,3,7,1,0,0,4,2,1,Premium,1,40.770316,-73.95717900000001
11.0,3.0093131860001185,2,3,6,1,0,1,1,0,1,3,Standard,0,40.71348,-73.998577
4.1,0.7513447913643161,1,20,5,5,1,0,1,0,0,2,Budget,0,40.750678,-73.987167
11.0,4.595607554451189,6,21,2,7,0,0,0,0,4,3,Standard,0,40.72844,-73.98751
3.3,0.550929730251346,1,14,1,4,0,0,0,4,4,3,Standard,0,40.778362,-73.95841800000001
17.0,2.871875345144094,1,14,4,9,0,0,0,0,0,3,Standard,1,40.730513,-73.983168
3.3,0.43448046948726177,2,22,5,7,0,1,1,0,0,3,Standard,0,40.752717,-73.97348000000001
10.0,3.2619592413102807,1,4,5,2,0,1,1,1,1,3,Standard,0,40.715431213378906,-73.95130157470702
10.5,3.5092887108173163,1,0,3,7,0,1,0,0,4,3,Standard,0,40.738067,-73.98389499999999
13.7,0.20895072232239295,2,18,5,6,1,0,1,0,0,2,Budget,1,40.719022,-74.00235699999999
6.5,1.6549201134989855,1,13,5,9,0,0,1,0,0,3,Standard,0,40.768218,-73.98916
6.5,1.658007792676904,1,22,6,6,0,1,1,0,0,3,Standard,0,40.760916,-73.987045
8.0,2.41141988214991,1,14,6,4,0,0,1,0,0,3,Standard,0,40.721115000000005,-73.998248
4.9,1.0734343892844063,1,18,3,1,1,0,0,0,0,2,Budget,0,40.746968,-73.978713
8.5,2.299155175581285,1,10,1,1,1,0,0,0,0,2,Budget,0,40.724492,-73.998475
11.7,1.4199426689974615,5,12,3,1,0,0,0,0,0,3,Standard,0,40.765132,-73.975342
3.7,0.7989559268795245,2,1,5,6,0,1,1,0,0,3,Standard,0,40.742088,-73.997088
19.0,6.130755275672757,1,1,6,12,0,1,1,0,0,3,Standard,1,40.718795,-73.98858
15.3,7.522529030375904,1,20,2,4,1,0,0,0,4,2,Budget,1,40.723073,-74.005873
8.9,2.4458608714121017,1,14,0,12,0,0,0,0,0,3,Standard,0,40.763267,-73.978493
5.3,1.7406854639957314,5,20,5,10,1,0,1,0,0,2,Budget,0,40.77795,-73.97816999999999
4.5,0.865924648044441,1,1,4,8,0,1,0,0,0,3,Standard,0,40.752572,-73.990148
4.5,0.6747564786107543,1,0,4,2,0,1,0,0,0,3,Standard,0,40.728987,-73.990348
13.5,4.339171849679707,1,6,0,4,0,0,0,4,0,3,Standard,1,40.802342,-73.933892
10.0,0.6464389136449179,1,13,3,10,0,0,0,0,0,3,Standard,0,40.752562,-73.98115899999999
15.5,4.515644970890619,1,11,0,6,0,0,0,0,0,3,Standard,1,40.761478,-73.998954
11.0,4.3483041903884505,1,22,3,12,0,1,0,1,1,3,Standard,0,40.688825,-73.981122
12.0,2.0655403730687,1,14,3,12,0,0,0,0,0,3,Standard,0,40.748327,-73.989287
5.7,1.1418379772728005,4,18,1,8,1,0,0,0,0,2,Budget,0,40.748593,-73.988848
30.83,9.583183581086331,1,6,4,7,0,0,0,0,2,1,Premium,1,40.747161,-73.972246
6.9,1.6664203070315604,1,11,3,12,0,0,0,0,0,3,Standard,0,40.745388,-73.983482
8.5,1.9564861042856168,1,22,0,9,0,1,0,0,0,3,Standard,0,40.751222,-73.975328
6.5,3.3351352120189537,1,13,6,9,0,0,1,0,4,3,Standard,0,40.780405,-73.980337
13.3,5.161195787039175,1,11,2,6,0,0,0,0,4,3,Standard,1,40.737206,-74.005161
6.5,2.063116552910596,1,6,5,2,0,0,1,4,0,3,Standard,0,40.7684440612793,-73.95553588867188
4.5,0.9635215652221245,4,17,4,3,1,0,0,4,4,2,Budget,0,40.759588,-73.961947
16.5,5.7432024330475375,4,22,6,8,0,1,1,0,0,3,Standard,1,40.758648,-73.99248100000001
9.7,4.577605459031712,2,20,2,10,1,0,0,0,0,2,Budget,0,40.710446000000005,-74.009548
7.0,1.912475687512326,1,9,6,12,1,0,1,0,0,2,Budget,0,40.778368,-73.986352
5.5,1.1042352758054563,1,14,3,12,0,0,0,0,0,3,Standard,0,40.743062,-73.999977
4.5,0.4980608699814348,1,1,6,2,0,1,1,0,0,3,Standard,0,40.74163,-73.980998
7.5,1.4962977333007692,1,13,3,10,0,0,0,0,0,3,Standard,0,40.757402,-73.974147
5.3,1.0737167828733132,1,8,4,3,1,0,0,0,0,2,Budget,0,40.752675,-73.982582
4.5,0.6885154097055659,1,4,4,4,0,1,0,0,0,3,Standard,0,40.727435,-73.98255999999999
10.5,2.7601651087854795,2,19,5,3,1,0,1,0,0,2,Budget,0,40.755148,-73.98099300000001
4.5,1.187508070304073,1,13,5,5,0,0,1,2,4,3,Standard,0,40.789065,-73.94856700000001
14.9,5.659159916852717,1,9,4,10,1,0,0,0,0,2,Budget,1,40.711285,-74.016008
9.7,2.7479301045683067,1,9,5,7,1,0,1,0,0,2,Budget,0,40.720511,-73.996989
8.5,1.256393030379665,1,9,2,1,1,0,0,0,0,2,Budget,0,40.706294,-74.016839
17.0,5.817402171057741,2,22,5,1,0,1,1,4,0,3,Standard,1,40.77264404296875,-73.9555435180664
12.0,2.6048162414963,1,17,0,7,1,0,0,0,0,2,Budget,0,40.747607,-74.00413499999999
5.5,0.7098903466922961,1,13,3,7,0,0,0,0,0,3,Standard,0,40.717945,-74.01545
5.3,1.2625713562549716,1,16,1,7,1,0,0,0,0,2,Budget,0,40.745422,-73.990962
13.5,5.027791484620903,1,8,0,7,1,0,0,4,0,2,Budget,1,40.758348,-73.969884
7.7,3.246084262237575,1,20,3,12,1,0,0,0,0,2,Budget,0,40.723158000000005,-74.008433
13.7,6.3448062194847274,5,17,0,8,1,0,0,0,0,2,Budget,1,40.7512,-73.97551999999999
4.5,0.8559219896265905,1,10,1,5,1,0,0,0,4,2,Budget,0,40.762173,-73.971398
15.3,5.3598725548846975,1,22,2,5,0,1,0,0,0,3,Standard,1,40.721707,-73.9936
4.9,1.19624094589751,1,13,5,4,0,0,1,0,0,3,Standard,0,40.759573,-73.984684
6.5,1.3308156119500174,1,19,1,9,1,0,0,0,0,2,Budget,0,40.741392,-73.989627
10.5,2.052951204780302,1,10,5,8,1,0,1,0,0,2,Budget,0,40.756699,-73.990125
15.5,4.924447798044476,2,15,2,9,0,0,0,0,0,3,Standard,1,40.7452,-74.001968
6.5,1.6479344749112788,1,0,2,3,0,1,0,0,0,3,Standard,0,40.745241,-73.976845
13.0,6.672222621984104,2,3,6,7,0,1,1,0,4,3,Standard,1,40.726471,-73.98642199999999
19.5,6.659193989906841,1,15,5,11,0,0,1,4,3,3,Standard,1,40.771263,-73.956513
6.5,0.8422891262444329,1,22,3,2,0,1,0,0,0,3,Standard,0,40.70625305175781,-74.00581359863281
8.5,2.45921639987187,1,7,2,10,1,0,0,4,0,2,Budget,0,40.772442,-73.952782
13.5,3.9054251509754634,1,0,5,6,0,1,1,0,2,3,Standard,1,40.764436,-73.982815
33.3,13.538207117694121,1,10,2,8,1,0,0,0,3,1,Premium,1,40.762747,-73.982203
5.7,1.9626450676067546,1,14,5,1,0,0,1,0,0,3,Standard,0,40.76895,-73.985155
6.0,1.1148158371032855,1,21,5,3,0,0,1,0,0,3,Standard,0,40.740663,-74.005638
5.5,1.1052138365230473,4,2,5,9,0,1,1,0,0,3,Standard,0,40.718932,-73.988922
7.7,1.6629529713635072,1,11,3,12,0,0,0,0,0,3,Standard,0,40.724245,-73.98503000000001
15.0,1.1728042579315712,1,7,4,6,1,0,0,4,4,2,Budget,1,40.773669,-73.962046
3.3,0.6981560381365249,5,23,5,7,0,1,1,0,0,3,Standard,0,40.754737,-73.97793
6.5,1.7642285682665564,3,15,5,8,0,0,1,0,4,3,Standard,0,40.769212,-73.98140699999999
9.7,2.54211881284417,1,3,6,4,0,1,1,0,0,3,Standard,0,40.739675,-74.004441
8.5,3.2804598791406105,2,19,1,12,1,0,0,0,4,2,Budget,0,40.750447,-73.980387
3.7,0.7362583387313826,1,8,4,1,1,0,0,0,0,2,Budget,0,40.731563,-74.001081
9.0,1.524067387532303,1,11,6,11,0,0,1,0,0,3,Standard,0,40.734247,-74.008472
30.5,12.068368415952706,1,22,5,6,0,1,1,4,2,1,Premium,1,40.74212646484375,-73.95426940917969
6.1,1.7785222011247115,1,8,0,4,1,0,0,0,0,2,Budget,0,40.746715,-73.98442
6.5,1.0611463831206585,2,16,5,7,1,0,1,4,0,2,Budget,0,40.7685,-73.9614
4.5,0.9539096293093644,2,17,3,3,1,0,0,0,0,2,Budget,0,40.744492,-73.978978
6.5,2.426152219438694,2,0,2,1,0,1,0,0,0,3,Standard,0,40.722113,-73.988907
9.3,1.9527494369731273,1,6,0,9,0,0,0,4,0,3,Standard,0,40.768027,-73.958973
6.5,1.7502300507103767,1,9,0,6,1,0,0,4,4,2,Budget,0,40.788802,-73.955438
7.7,3.254950485928602,1,7,3,2,1,0,0,0,0,2,Budget,0,40.734882,-73.98589
6.0,1.0834296394200715,5,12,0,9,0,0,0,0,0,3,Standard,0,40.765485,-73.980497
6.9,0.5354884490121574,1,13,1,3,0,0,0,4,0,3,Standard,0,40.761637,-73.968376
57.33,20.855286887059883,1,6,5,10,0,0,1,0,4,1,Premium,1,40.749751,-73.987889
6.0,2.1988361947945085,1,23,5,3,0,1,1,4,2,3,Standard,0,40.77809524536133,-73.9544906616211
20.5,9.714992465671182,1,17,2,2,1,0,0,4,0,2,Budget,1,40.809014000000005,-73.94026099999999
40.83,10.462438066050295,5,15,3,2,0,0,0,2,0,1,Premium,1,40.771227,-73.865387
5.3,1.8124789437456827,1,13,1,4,0,0,0,0,0,3,Standard,0,40.754818,-73.980153
2.9,0.24174223611757006,1,10,1,11,1,0,0,0,0,2,Budget,0,40.748889,-73.980281
7.5,2.0142697848902356,1,17,2,9,1,0,0,0,0,2,Budget,0,40.735392,-73.989875
8.5,2.5920583384243105,1,18,4,9,1,0,0,0,0,2,Budget,0,40.752105,-73.990288
8.5,1.9632370102970815,1,22,5,6,0,1,1,0,0,3,Standard,0,40.733262,-73.993402
5.3,1.4135265575791054,1,11,2,6,0,0,0,0,0,3,Standard,0,40.732007,-74.008698
4.1,0.750866535115155,1,17,3,4,1,0,0,0,0,2,Budget,0,40.774912,-73.984495
12.9,5.581488266231435,1,19,3,10,1,0,0,0,0,2,Budget,1,40.717117,-74.014648
6.9,1.5270101461233796,1,21,6,3,0,0,1,0,0,3,Standard,0,40.750579,-73.994636
6.5,1.6398010521814663,1,22,5,5,0,1,1,0,0,3,Standard,0,40.754869,-73.986296
10.9,1.9386060939886438,1,11,6,12,0,0,1,0,0,3,Standard,0,40.751892,-73.976383
6.5,3.0354305211577084,1,15,1,1,0,0,0,0,0,3,Standard,0,40.764759000000005,-73.987912
10.5,4.151203721132811,2,7,2,1,1,0,0,0,0,2,Budget,0,40.732342,-74.000527
13.5,2.0976820653438426,1,17,0,6,1,0,0,0,0,2,Budget,1,40.751456,-73.975842
10.1,2.961544045117283,1,14,4,8,0,0,0,4,0,3,Standard,0,40.773325,-73.955027
5.7,2.1714748450858625,1,15,3,8,0,0,0,4,4,3,Standard,0,40.755032,-73.965003
7.3,2.0507990590728356,6,10,6,12,1,0,1,4,4,2,Budget,0,40.808045,-73.96374499999999
39.65,10.883227521956998,1,16,4,1,1,0,0,0,2,1,Premium,1,40.741304,-73.985556
5.3,1.4422610354510854,2,20,2,6,1,0,0,0,4,2,Budget,0,40.757837,-73.973865
7.7,3.687526493058434,2,2,5,2,0,1,1,0,0,3,Standard,0,40.718988,-74.008787
33.0,0.1462365649615806,1,23,2,1,0,1,0,0,0,0,Airport/Long-Haul,1,40.75807,-73.974948
12.5,1.8010770031391792,5,14,3,5,0,0,0,0,4,3,Standard,1,40.7786,-73.97403
5.7,1.1968725770555646,1,17,2,6,1,0,0,0,0,2,Budget,0,40.742068,-73.980757
21.0,6.070445977192533,1,21,4,8,0,0,0,2,0,3,Standard,1,40.774512,-73.94820899999999
12.5,4.384402871931167,1,11,3,11,0,0,0,0,0,3,Standard,1,40.755228,-73.9866
5.7,0.9995860932749076,2,19,4,11,1,0,0,0,0,2,Budget,0,40.723597,-73.996147
13.0,3.7401670362248676,1,7,2,10,1,0,0,0,4,2,Budget,1,40.758758,-73.97732099999999
5.3,0.7292086080420053,1,15,3,8,0,0,0,0,4,3,Standard,0,40.760723,-73.97163
17.5,5.413240676453088,5,19,3,9,1,0,0,4,0,2,Budget,1,40.797297,-73.96990699999999
6.5,1.6105677429186067,2,22,6,5,0,1,1,0,0,3,Standard,0,40.736286,-73.984851
8.9,3.4537909329226535,6,22,0,7,0,1,0,0,0,3,Standard,0,40.727567,-74.001002
6.1,1.6570987287279337,2,21,3,10,0,0,0,0,0,3,Standard,0,40.733270000000005,-73.989888
8.5,1.5507955061395655,1,14,4,2,0,0,0,0,0,3,Standard,0,40.75895690917969,-73.97672271728516
7.3,1.4838115418154638,1,18,1,11,1,0,0,0,4,2,Budget,0,40.762009,-73.978792
18.5,6.64830551635338,1,1,6,6,0,1,1,4,0,3,Standard,1,40.813904,-73.949855
10.5,5.228709410788092,1,8,5,3,1,0,1,4,0,2,Budget,0,40.775183,-73.95355
26.5,11.798966066874614,1,21,1,4,0,0,0,2,0,1,Premium,1,40.769258,-73.863047
18.0,5.13545677921156,1,14,4,9,0,0,0,0,2,3,Standard,1,40.743457,-73.99243299999999
6.1,1.446581378219384,1,14,5,8,0,0,1,0,0,3,Standard,0,40.75155,-73.986465
5.5,0.6790206376424771,1,16,0,12,1,0,0,4,4,2,Budget,0,40.775122,-73.950917
8.1,2.2506189908849654,1,21,1,4,0,0,0,0,0,3,Standard,0,40.769265,-73.982123
7.3,2.260152388255697,1,10,1,7,1,0,0,0,0,2,Budget,0,40.744962,-73.995162
5.3,1.269789437156339,1,12,2,4,0,0,0,0,0,3,Standard,0,40.759687,-73.984328
4.1,0.9124652851880425,2,16,6,1,1,0,1,0,0,2,Budget,0,40.788147,-73.975978
11.5,2.007360052642288,1,14,4,2,0,0,0,4,4,3,Standard,0,40.762325,-73.960082
3.7,0.41988621382782687,2,14,6,11,0,0,1,0,0,3,Standard,0,40.782058,-73.981398
5.5,0.736340043257412,1,16,4,8,1,0,0,4,4,2,Budget,0,40.784643,-73.954095
6.1,2.59678889705408,5,21,1,3,0,0,0,0,0,3,Standard,0,40.758607,-73.971665
17.7,7.731433823823514,1,15,0,7,0,0,0,4,4,3,Standard,1,40.78598,-73.950911
5.7,1.5022194226972183,5,21,3,4,0,0,0,0,0,3,Standard,0,40.751672,-73.988178
4.9,0.49609873019440864,1,16,0,3,1,0,0,4,4,2,Budget,0,40.757142,-73.963732
45.0,2.3797186989281656,1,14,2,6,0,0,0,4,4,1,Premium,1,40.660138,-73.806292
7.5,1.9302944896068353,1,9,3,11,1,0,0,0,0,2,Budget,0,40.706407,-74.013947
6.0,1.8696061273321523,1,19,0,2,1,0,0,0,0,2,Budget,0,40.748287,-73.989058
6.9,2.542250821564685,2,10,5,5,1,0,1,0,0,2,Budget,0,40.765109,-73.98059
14.5,2.919186586388763,1,8,1,11,1,0,0,0,0,2,Budget,1,40.752195,-73.970433
6.5,1.7895954554828812,1,18,4,4,1,0,0,0,0,2,Budget,0,40.736566,-74.005773
7.3,3.0877036692790374,1,9,1,8,1,0,0,2,0,2,Budget,0,40.772465,-73.946692
7.7,1.9900999669553463,1,12,3,8,0,0,0,0,0,3,Standard,0,40.766922,-73.977537
4.9,1.9098596766514226,1,1,5,6,0,1,1,4,2,3,Standard,0,40.784207,-73.950233
16.5,3.9305590691917276,1,9,0,4,1,0,0,0,4,2,Budget,1,40.760485,-74.002822
6.9,2.096817523516926,1,18,1,1,1,0,0,4,4,2,Budget,0,40.771841,-73.95903299999999
5.0,0.9921195515007122,2,19,6,4,1,0,1,0,0,2,Budget,0,40.762663,-73.972317
18.1,7.8828717007725615,2,20,5,5,1,0,1,0,1,2,Budget,1,40.723373,-73.995678
9.0,2.1554344993667764,1,23,1,1,0,1,0,4,0,3,Standard,0,40.763705,-73.967184
3.7,0.5510480637823519,1,2,1,5,0,1,0,0,0,3,Standard,0,40.721766,-73.987564
12.1,2.956504471995172,1,18,1,6,1,0,0,4,0,2,Budget,0,40.76854,-73.965847
4.9,1.2605286642328954,1,9,3,4,1,0,0,0,0,2,Budget,0,40.747907,-73.99260500000001
5.7,1.043746331361446,1,17,3,2,1,0,0,0,0,2,Budget,0,40.760274,-73.984511
10.5,3.090488292216674,1,21,3,9,0,0,0,0,0,3,Standard,0,40.715977,-74.00885799999999
5.0,0.5657741805706734,1,9,2,9,1,0,0,0,0,2,Budget,0,40.745425,-73.971692
6.5,0.819461605123258,5,13,3,2,0,0,0,4,4,3,Standard,0,40.76744,-73.95333000000001
10.1,2.610976981547451,1,18,3,2,1,0,0,0,0,2,Budget,0,40.750025,-73.98809
5.3,0.5980170603147429,1,11,6,9,0,0,1,4,4,3,Standard,0,40.757822,-73.957945
27.47,0.739119004317523,1,4,0,9,0,1,0,4,2,3,Standard,1,40.784233,-73.95296
15.0,2.6688953067217756,1,9,2,4,1,0,0,0,0,2,Budget,1,40.74266815185547,-73.98670196533203
11.5,3.9872310498600756,1,16,4,10,1,0,0,0,0,2,Budget,0,40.752432,-73.97488
7.7,1.319253781109832,3,14,1,4,0,0,0,0,0,3,Standard,0,40.752275,-73.97525999999999
7.5,1.5899134421581207,1,16,0,10,1,0,0,0,0,2,Budget,0,40.73173,-73.98814200000001
4.5,0.5323402650814792,1,3,0,2,0,1,0,0,0,3,Standard,0,40.74156,-74.00830500000001
5.7,1.448753697931086,1,14,5,12,0,0,1,0,4,3,Standard,0,40.752612,-73.97846
10.1,3.1559475847618876,6,13,1,10,0,0,0,4,0,3,Standard,0,40.783597,-73.957452
15.5,3.8530688091163796,5,23,1,8,0,1,0,0,0,3,Standard,1,40.754617,-73.984273
17.0,4.367210298757239,1,10,5,4,1,0,1,2,1,2,Budget,1,40.749025,-73.9369
5.7,1.5824028532794794,1,6,4,8,0,0,0,0,0,3,Standard,0,40.735451,-74.001712
12.0,2.5789077484960257,1,8,4,4,1,0,0,0,4,2,Budget,0,40.78444290161133,-73.97383117675781
12.5,4.779428465481567,1,20,0,6,1,0,0,0,0,2,Budget,1,40.749703,-73.97443299999999
5.7,1.543219077555195,1,8,0,3,1,0,0,2,4,2,Budget,0,40.792516,-73.946827
13.0,5.643514900301221,1,1,6,11,0,1,1,0,0,3,Standard,1,40.730454,-74.009061
